yaw,pitch,roll,voltage,temperature,time
-2.89,1.54,-1.29,2.38,74.18,17663
-2.89,1.51,-1.31,2.46,74.36,17701
-2.92,1.48,-1.37,2.39,74.18,17737
-2.95,1.60,-1.25,2.46,74.36,17773
-2.97,1.65,-1.25,2.40,74.36,17810
-3.05,1.54,-1.49,2.48,74.18,17847
-3.14,1.54,-1.43,2.40,74.18,17883
-3.27,1.52,-1.32,2.48,74.36,17920
-3.39,1.53,-1.40,2.40,74.36,17956
-3.59,1.53,-1.55,2.47,74.36,17992
-3.80,1.44,-1.63,2.40,74.36,18029
-3.94,1.27,-1.62,2.47,74.36,18065
-4.09,0.97,-1.55,2.41,74.36,18106
-4.20,0.73,-1.62,2.49,74.36,18143
-4.28,0.60,-1.84,2.42,74.36,18180
-4.23,0.56,-1.83,2.49,74.36,18216
-4.00,0.47,-1.48,2.40,74.36,18253
-3.80,0.17,-1.17,2.47,74.36,18289
-3.65,-0.07,-1.18,2.39,74.36,18325
-3.51,-0.18,-1.27,2.47,74.36,18362
-3.53,-0.35,-1.23,2.39,74.18,18400
-3.71,-0.66,-1.26,2.47,74.36,18456
-3.97,-0.98,-1.32,2.39,74.36,18496
-4.27,-1.19,-1.38,2.46,74.36,18533
-4.52,-1.50,-1.44,2.37,74.36,18570
-4.61,-1.62,-1.47,2.41,74.36,18606
-4.59,-1.49,-1.29,2.35,74.36,18643
-3.95,-1.08,-0.79,2.44,74.36,18757
-3.88,-1.70,-1.04,2.44,74.36,18847
-4.03,-1.78,-1.05,2.50,74.36,18883
-4.26,-1.79,-1.21,2.42,74.36,18921
-4.44,-1.74,-1.26,2.48,74.36,18956
-4.66,-1.50,-1.20,2.40,74.36,18993
-4.85,-1.19,-1.18,2.47,74.36,19031
-4.96,-1.21,-1.17,2.36,74.36,19067
-5.10,-1.34,-0.95,2.43,74.36,19103
-5.18,-1.44,-0.99,2.37,74.36,19140
-5.23,-1.64,-1.02,2.48,74.36,19176
-5.26,-2.08,-0.98,2.42,74.36,19213
-5.25,-2.13,-0.89,2.49,74.36,19249
-5.15,-1.80,-0.75,2.41,74.36,19286
-5.03,-1.51,-0.72,2.48,74.18,19326
-4.91,-1.24,-0.74,2.39,74.36,19363
-4.86,-1.10,-0.75,2.47,74.36,19398
-4.86,-1.10,-0.80,2.40,74.36,19435
-4.88,-1.12,-0.94,2.47,74.36,19472
-4.92,-1.38,-0.97,2.37,74.36,19508
-4.99,-1.67,-0.89,2.43,74.36,19545
-5.03,-1.72,-1.06,2.35,74.36,19582
-5.13,-1.58,-1.17,2.46,74.36,19618
-5.27,-0.94,-1.34,2.41,74.36,19654
-5.46,-0.45,-1.37,2.49,74.36,19691
-5.68,-0.42,-1.29,2.42,74.18,19727
-6.01,-0.59,-1.30,2.48,74.36,19764
-6.28,-0.91,-1.31,2.37,74.36,19800
-6.69,-1.35,-1.48,2.46,74.36,19842
-6.91,-1.53,-1.56,2.40,74.36,19878
-7.11,-1.66,-1.50,2.48,74.36,19914
-7.18,-1.65,-1.45,2.39,74.36,19949
-7.15,-1.55,-1.44,2.47,74.36,19986
-6.99,-1.19,-1.41,2.38,74.36,20024
-6.86,-1.01,-1.26,2.42,74.36,20060
-6.80,-0.89,-1.15,2.35,74.36,20097
-6.86,-0.99,-1.40,2.47,74.36,20134
-6.99,-1.07,-1.53,2.41,74.36,20169
-7.27,-1.18,-1.52,2.49,74.36,20206
-7.57,-1.27,-1.43,2.40,74.36,20243
-7.78,-1.09,-1.45,2.47,74.36,20279
-8.03,-0.97,-1.49,2.40,74.36,20316
-8.24,-0.96,-1.49,2.48,74.36,20356
-8.37,-1.08,-1.30,2.37,74.36,20393
-8.45,-1.23,-1.03,2.45,74.36,20429
-8.52,-1.22,-0.88,2.38,74.36,20465
