voltage,current,airspeed,throttle, ms
320,55,616,1521,51379
319,55,617,1526,51415
320,55,616,1528,51451
319,56,615,1526,51487
319,56,617,1523,51523
320,57,612,1522,51559
319,57,615,1520,51595
319,58,611,1524,51631
319,59,611,1526,51666
319,59,613,1528,51703
320,59,608,1527,51739
319,61,606,1522,51775
320,62,609,1522,51811
318,62,609,1521,51847
319,63,605,1535,51883
318,71,608,1546,51919
318,99,608,1563,51955
317,113,607,1572,51991
318,109,602,1574,52027
317,106,606,1573,52063
318,103,603,1580,52100
317,103,604,1580,52135
316,103,605,1573,52171
318,103,603,1574,52207
317,102,603,1573,52243
318,104,601,1574,52279
317,103,602,1580,52316
318,105,601,1580,52352
317,105,605,1574,52387
317,105,598,1573,52423
317,104,602,1574,52459
317,103,601,1574,52495
318,104,599,1580,52532
317,107,600,1579,52568
317,106,598,1580,52603
318,106,601,1573,52639
317,93,599,1565,52675
318,98,601,1565,52711
317,100,599,1570,52747
318,97,600,1570,52784
318,97,601,1570,52819
317,99,599,1564,52855
318,99,600,1563,52891
317,98,598,1564,52927
318,99,601,1569,52963
317,101,599,1570,53000
317,99,601,1569,53036
318,99,598,1563,53071
317,99,600,1563,53107
318,98,601,1564,53143
318,98,600,1570,53179
317,98,600,1569,53216
318,101,600,1570,53252
316,100,602,1564,53287
318,101,598,1564,53323
317,98,603,1564,53359
318,97,600,1570,53395
318,97,603,1570,53432
317,96,601,1570,53468
318,98,602,1564,53504
318,95,604,1563,53539
317,93,599,1564,53575
319,95,605,1570,53611
317,94,600,1569,53648
318,94,603,1577,53684
316,116,602,1588,53720
317,119,604,1588,53755
316,115,600,1588,53791
317,114,602,1595,53827
318,112,606,1597,53864
316,110,603,1597,53900
318,111,603,1601,53936
316,120,610,1601,53971
317,128,606,1618,54007
316,138,603,1634,54043
315,141,603,1633,54080
316,138,603,1634,54116
315,137,609,1628,54152
317,135,604,1628,54188
315,135,602,1628,54223
316,134,607,1634,54259
316,133,602,1635,54296
315,132,602,1635,54332
317,131,604,1629,54368
315,131,604,1629,54404
316,131,606,1629,54439
317,130,606,1635,54475
315,130,612,1635,54512
317,130,613,1635,54548
316,128,613,1629,54584
316,128,608,1630,54620
315,139,614,1646,54656
315,160,609,1662,54691
316,156,604,1663,54728
315,151,610,1674,54764
315,191,615,1692,54800
312,196,610,1693,54836
314,188,616,1695,54872
313,181,613,1695,54907
314,175,618,1700,54944
313,174,615,1700,54980
315,172,619,1694,55016
315,179,615,1694,55052
313,171,616,1694,55088
315,170,623,1694,55123
314,178,616,1702,55160
313,176,618,1702,55196
313,172,624,1696,55232
315,171,616,1695,55268
314,177,620,1696,55304
313,171,621,1696,55340
313,174,617,1702,55376
315,172,618,1702,55412
314,171,623,1696,55448
314,167,617,1695,55484
314,168,618,1696,55520
315,171,622,1696,55556
313,174,616,1702,55592
314,168,618,1702,55628
315,172,620,1696,55664
314,173,619,1695,55700
313,171,621,1696,55736
313,171,624,1695,55772
315,171,621,1701,55809
313,170,619,1702,55844
314,169,627,1696,55880
315,166,622,1695,55916
314,169,622,1696,55952
314,162,624,1694,55988
315,167,625,1700,56025
315,166,622,1700,56060
314,163,623,1694,56096
313,168,627,1693,56132
314,165,623,1693,56168
315,167,624,1693,56204
315,167,627,1699,56241
314,166,625,1699,56276
313,166,622,1693,56312
314,163,622,1693,56348
315,168,625,1693,56384
315,165,617,1693,56420
313,166,624,1699,56457
313,167,620,1699,56493
314,172,619,1693,56528
